Frame,Label,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
10,4,0,0,0,-0.0502602676982697,0.0430077328842639,-0.00987183507711077,-0.0612708681334836,0.0478057157493931,-0.0083985154682298,-0.07171801840215,0.0506353290686292,-0.00642753885984108,0.109152067072762,0.0411015050096352,0.0102132227526598,-0.113737794125477,0.0464819030256082,-0.0025338180591872,0.0067833032331138,-0.0126373674536088,0.00145776954514115,0.0127004248629255,0.0209207939920582,0.00580791224857488,-0.0277360538010858,0.0392297353988658,-0.133005574148916,-0.323275205173746,-0.0447535483710666,-0.444255862326968,-0.603256537396056,-0.404957538804055,-0.362514305307062,0.00468082057885664,0.0302511663309498,0.00830134973761218,0.00627898967829541,0.043927355643929,0.00966325231106253,0.027188723085378,0.110394121942251,0.0504107650062947,0.021265501157975,0.103390444445182,0.0534558455494598,0.0279970294177475,-0.0207813298242442,-0.0137475695987961,-0.00175587115469086,0.0313387860642929,-0.00354216193362671,-0.0336416363644326,0.062549053402912,-0.0157920130567725,-0.0336416363644326,0.062549053402912,-0.0157920130567725,-0.00764352037415564,0.0662972754718219,-0.00441158022167229,5.56897920896901e-05,0.0415058316790496,-0.00947253073977985,-0.0235752239918661,0.0362778483406895,-0.00401347939243307,-0.0235752239918661,0.0362778483406895,-0.00401347939243307
11,4,0,0,0,-0.0719830540064505,0.0204167208504749,-0.0113353466048552,-0.0854527129370816,0.0260073796823405,-0.00959927074225736,-0.0995562650147663,0.0326102477554879,-0.00640848357352895,0.0798323162692404,0.0223930061594113,0.0150643628048807,-0.150955684790964,0.0496807167501669,0.000536686522750478,-0.0353357173385241,0.00374134826990715,-0.00475703412194481,0.00273824603098161,0.0469300538555771,0.00878433478702395,-0.0800531732523289,0.0365221852653512,-0.221239594864665,-0.326612438456189,-0.132281047900594,-0.832175920814231,-0.446308260932931,-0.329367129401762,-0.868082347383349,-0.0166225861109963,0.0437222058926821,0.0108800120969649,-0.033664940613367,0.0274649827426004,0.00208058681199882,-0.0596826851521636,0.0453033578046284,0.0320118608927048,-0.104930490110432,0.0507984787619738,0.0832697138545104,0.0305291111755048,-0.0165692806372583,-0.0156820737461777,-0.0310776004390453,0.0220911427147221,-0.00834012245238461,-0.0551394405246696,0.0470620986509221,-0.0176676447459766,-0.0551394405246696,0.0470620986509221,-0.0176676447459766,-0.0158564997041369,0.0797419918971963,0.0031613954328342,0.0213341765073578,0.0164331745018213,-0.0107281633083057,-0.029533802050569,0.0219195571305069,-0.0096903084436962,-0.029533802050569,0.0219195571305069,-0.0096903084436962
12,4,0,0,0,-0.0862134031343401,0.00296384076846264,-0.00948524405689689,-0.101107092236283,0.00939375339131726,-0.00757969136028689,-0.117321947698598,0.0189655173202079,-0.0035506581628266,0.0497718386821871,0.00876295463172531,0.0204450922012291,-0.174156380703841,0.0515865411740022,0.00539623504234312,-0.0651965705767436,0.0145134297500153,-0.00473295803755014,0.00061916065227105,0.0699477583491223,0.0109734364335155,-0.113961575550529,0.0248122486205756,-0.28699020448311,-0.300694954422806,-0.246715975811857,-1.12399513132387,-0.285444160313567,-0.297749407976737,-1.2446258191864,-0.0290444419090967,0.0519893289337568,0.0121816476304714,-0.0598872946865108,0.00417877325382282,-0.0034675197934152,-0.127393771650038,-0.0252963551545043,0.0186242359574939,-0.215610857815032,0.0065909444324811,0.0963886127204619,0.0331330187002634,-0.00410680351324237,-0.0120096965813895,-0.0519714198893265,0.0168591810364934,-0.00865046686349889,-0.07020092614964,0.034781141503809,-0.0152332635519425,-0.07020092614964,0.034781141503809,-0.0152332635519425,-0.0134723196108314,0.0774937838718929,0.00761768770299243,0.0288881965097884,-0.00160920549557219,-0.00935747500839918,-0.035739764671224,0.0101073264941366,-0.0105132052746541,-0.035739764671224,0.0101073264941366,-0.0105132052746541
13,4,0,0,0,-0.086406330806445,0.00209443092395145,0.000467326602278539,-0.101520711452525,0.0105123324763133,0.0025255243841586,-0.11773026469294,0.0221140765803844,0.00686949787771082,0.0212848573350581,0.0106249723988246,0.0298467078339539,-0.175908733638637,0.0592435464609075,0.0160257186275247,-0.0718426163387733,0.0171813497683848,0.0107930105991418,0.0151914603259909,0.093897795159257,0.0134150208139279,-0.114149886941154,-0.0031067084582832,-0.321425176683707,-0.217947847413816,-0.430045788214189,-1.27802289544993,-0.132713381667068,-0.382704104803384,-1.42110103148855,-0.0229793792256668,0.0545147995953078,0.0119736380319672,-0.0579927210490338,-0.0311782289693795,-0.00158003718158889,-0.15843609412094,-0.100121445533056,0.0214529154234393,-0.304120113430378,-0.00640614433541353,0.0731394891536672,0.0401206604857267,0.0293398041719502,0.00406100848162358,-0.0552557701289061,0.0222484652002189,0.0010261944653246,-0.0710352196725275,0.0331109807386438,-0.00335999269652698,-0.0710352196725275,0.0331109807386438,-0.00335999269652698,0.0136483229963824,0.0439331187062627,0.00535039750795617,0.0100075760862925,-0.00408042210724402,-0.00204140524198508,-0.0418110862727763,0.00714588545535001,-0.000816532375039895,-0.0418110862727763,0.00714588545535001,-0.000816532375039895
14,4,0,0,0,-0.0791068212982587,0.00636315303121695,0.0137335113371568,-0.0934068651643708,0.0168156213373388,0.0158510747846021,-0.108066017758497,0.0296429867184221,0.0201284240426384,-0.00794285079560285,0.0175654374884619,0.0397779128108061,-0.163643891820822,0.0656075624470894,0.0284442461503611,-0.0662304947673846,0.0142426355433464,0.0325578589873145,0.0376068534529441,0.114856276599418,0.0150692843023827,-0.0959294811787355,-0.040028052048403,-0.333376737787001,-0.105946023088999,-0.640283028998256,-1.33594981159836,0.0239332211356687,-0.5116314896073,-1.46855167351747,-0.00803276565048441,0.0518363537362012,0.0104886016076169,-0.0423765711930381,-0.0733590677800307,0.00234200432388711,-0.170318094852174,-0.180455484733118,0.0292928740677637,-0.377113745481917,-0.0110188017495921,0.0331953961477734,0.0471801280381914,0.0710368397941728,0.0257385948568065,-0.0501122105344123,0.0316534310352865,0.0151904719017917,-0.0654331946601484,0.0346468175783555,0.0128232910421268,-0.0654331946601484,0.0346468175783555,0.0128232910421268,0.051366125026883,-0.0053204709100452,-3.3576071428355e-05,-0.022597511050041,0.00047863846091895,0.00790098539286149,-0.0481297924362808,0.00673050499037571,0.0137340727448795,-0.0481297924362808,0.00673050499037571,0.0137340727448795
15,4,0,0,0,-0.0754414635710481,0.00109426291401255,0.0217343183367892,-0.0868549728787019,0.0110348134095265,0.0235299541060473,-0.0970640043568012,0.022815623025199,0.026978747117515,-0.0350101418540245,0.0161229946319966,0.0377537154500798,-0.138127461960888,0.0529394277442636,0.0331158873177663,-0.0583710637721919,0.00555803000268338,0.0437950246221332,0.0520483347193635,0.114570861739763,0.0158442280965675,-0.0776297122712198,-0.0727267963149417,-0.320434610704582,-0.0264055818107452,-0.764399271135907,-1.29738873175165,0.131980547967021,-0.59245900875349,-1.3923089511513,0.00253168196225208,0.041234370355336,0.00760658103644474,-0.0323575824484767,-0.107746892048988,-0.00217171988551186,-0.177806155254527,-0.25248144670971,0.0244951937259676,-0.423325088783193,-0.0418725225940627,0.0111519213374426,0.0393336988838103,0.0933833804643115,0.0388513837934478,-0.048999568940042,0.0379144300992721,0.0239470725993663,-0.065175286266103,0.0290336546658569,0.0240474466629581,-0.065175286266103,0.0290336546658569,0.0240474466629581,0.0697581921579336,-0.0386147126926365,-0.00180458254931644,-0.0493428406805116,0.000168780457630571,0.0144704743306994,-0.0558282717194034,-0.000595743700073753,0.023225316072581,-0.0558282717194034,-0.000595743700073753,0.023225316072581
16,4,0,0,0,-0.0831859331332348,-0.0263438784260346,0.0175167961657475,-0.0884888119367918,-0.0213834797309451,0.0183851878631297,-0.0893365791412866,-0.0139295533596488,0.0198903169369731,-0.0582396265337208,0.000126370091777846,0.012962755193781,-0.0954523186562288,0.00598921712987376,0.0222651146770303,-0.0528958501323476,-0.00827843027778832,0.0323693689894074,0.0511117809193766,0.0804629082196567,0.0160281589475449,-0.0670042671770759,-0.0962997233098976,-0.273207542230062,-0.0205382443655921,-0.743073245158106,-1.1277426645861,0.156047160909895,-0.594722307490725,-1.129115737501,0.00295434680297611,0.0205572661590351,0.00245916113625737,-0.0375693315451296,-0.127538986815127,-0.0261185302982803,-0.185080784815105,-0.32052210286593,-0.00507493034332389,-0.431634190962472,-0.132956828178578,0.0258447782538152,-0.00046926145473461,0.0785110332812141,0.0330998430892552,-0.0600797779017525,0.0381541662666214,0.0199353021961057,-0.0791466614569775,0.00678194348307926,0.0236137289005138,-0.0791466614569775,0.00678194348307926,0.0236137289005138,0.0491413365741261,-0.0404415470547008,0.00298339478677932,-0.0623901240599629,-0.0159022418002653,0.0127137267415893,-0.068032307003612,-0.0245876612170376,0.0201737877618588,-0.068032307003612,-0.0245876612170376,0.0201737877618588
17,4,0,0,0,-0.0945645544763973,-0.0633196319905517,0.00803389625945992,-0.0916846049973673,-0.0658858696602545,0.00759375054121369,-0.0802713874585192,-0.0650310035757574,0.0063932836663802,-0.0793086941411778,-0.0242531623945435,-0.0237836074000964,-0.0395255873094506,-0.0599931441735237,0.00366745568086303,-0.0451733270686994,-0.0278607818738847,0.0104160306033277,0.042201315258856,0.0251110583997344,0.0153327701042522,-0.0562994589378346,-0.115650050981272,-0.201086785569829,-0.047132289967001,-0.635626220533888,-0.861608601425417,0.131514497881384,-0.548885740570235,-0.74222915945561,-0.0010051543187458,-0.00804337555902452,-0.00408524291075179,-0.0483782417532167,-0.139538067039572,-0.0585011064259237,-0.187961474046802,-0.380254681798681,-0.0472826933987359,-0.413161004391488,-0.250282197193385,0.0584382533657509,-0.0551781185001252,0.044288191146033,0.0187835049465209,-0.0751909048635865,0.0352499356628887,0.0105158550539526,-0.0984621532661859,-0.0226187674519087,0.018220883020247,-0.0984621532661859,-0.0226187674519087,0.018220883020247,0.00919874609086856,-0.0263090335830484,0.0113843392243715,-0.0695776499335514,-0.0368421826296126,0.00758407745547049,-0.0816161154074388,-0.0554904469594766,0.0120628976589185,-0.0816161154074388,-0.0554904469594766,0.0120628976589185
18,4,0,0,0,-0.0973768900365377,-0.0866138249606666,0.00556548111326256,-0.0866604395434906,-0.0960809976718044,0.00381955986139644,-0.0647661628097286,-0.102540735751158,-0.000169275412603516,-0.100348368740082,-0.0519631368826555,-0.0525362823392767,0.0171657491611317,-0.116997041886544,-0.00888643760569239,-0.0313197721534042,-0.055110391585271,-0.0024261374983686,0.0317123020416511,-0.0320011015679361,0.0128011425111889,-0.0405835806860349,-0.132262447338229,-0.129835823254635,-0.0442686566177423,-0.506993578642206,-0.602390368223192,0.11201177250515,-0.454269818610719,-0.426751803560415,-0.00533168782841251,-0.0408324259189128,-0.00954134287897801,-0.0552023202133502,-0.14953542647655,-0.0767978114114832,-0.188673075899083,-0.404893843253693,-0.0833725993806429,-0.389998720998992,-0.326505560493234,0.0870207937144896,-0.0886186912942542,0.0167191098731105,0.0126292872214099,-0.0823059799918689,0.0306739782223128,0.007875521412199,-0.108246695947571,-0.041054829941988,0.0186960038174554,-0.108246695947571,-0.041054829941988,0.0186960038174554,-0.0209429101683519,-0.0110890787537163,0.0212898511118426,-0.0748360603180458,-0.0418735007322289,0.00794230839672025,-0.0883347368441461,-0.0734966279235606,0.011429581289854,-0.0883347368441461,-0.0734966279235606,0.011429581289854
19,4,0,0,0,-0.0865427615009723,-0.081197053572611,0.0198688710359147,-0.0676146359916972,-0.095950186256937,0.0167821139697238,-0.0371748896273084,-0.111039670880059,0.00964780798811241,-0.13417033213957,-0.0864333722686539,-0.066834044039391,0.0809130223018522,-0.154668379544323,-0.00760614224526822,-0.00815615445458513,-0.0965202818188897,0.006602689075132,0.0165748310992464,-0.0908459631237384,0.00771243012360363,-0.0175847728046128,-0.146134711916023,-0.060755044516383,0.026123052226312,-0.350155962033326,-0.363187638217786,0.116657691455165,-0.262774320957737,-0.258388225589441,-0.01493971582862,-0.080999202339519,-0.0120345702881842,-0.0601787055430267,-0.159563869350876,-0.066958943529709,-0.197207827387073,-0.369303487885422,-0.112389098206262,-0.372156513030305,-0.328249367486656,0.108367004874902,-0.0837284422657482,0.00592834615301627,0.0255490610637649,-0.0768813098814408,0.0246528726401181,0.0212598433919604,-0.10264476631365,-0.0367323260644719,0.0338824709571074,-0.10264476631365,-0.0367323260644719,0.0338824709571074,-0.0283396530241192,0.00253990515765989,0.0351583220309411,-0.0835820822074998,-0.015506410764776,0.0214337450238516,-0.0864304332459168,-0.065730491936809,0.0279102787041387,-0.0864304332459168,-0.065730491936809,0.0279102787041387
